sku,name,price,description,is_in_stock,ADVERTISERCATEGORY
TTLEG.IBLU.IBLU.IBLU-10, Tippy Toe Legging-India Blue-10,45,Tippy Toe Legging in India Blue.,1,yoga apparel
TTLEG.IBLU.IBLU.IBLU-12, Tippy Toe Legging-India Blue-12,45,Tippy Toe Legging in India Blue.,1,yoga apparel
TTLEG.C6.BBLU.IBLU-2,Tippy Toe Legging-Carbon 6 / Boy Blue-2,45,Tippy Toe Legging in Carbon 6/ Boy Blue.,0,yoga apparel
TTLEG.C6.BBLU.IBLU-4,Tippy Toe Legging-Carbon 6 / Boy Blue-4,45,Tippy Toe Legging in Carbon 6/ Boy Blue.,0,yoga apparel
TTLEG.C6.BBLU.IBLU-6,Tippy Toe Legging-Carbon 6 / Boy Blue-6 ,45,Tippy Toe Legging in Carbon 6/ Boy Blue.,0,yoga apparel
TTLEG.C6.BBLU.IBLU-8,Tippy Toe Legging-Carbon 6 / Boy Blue-8,45,Tippy Toe Legging in Carbon 6/ Boy Blue.,1,yoga apparel
TTLEG.C6.BBLU.IBLU-10,Tippy Toe Legging-Carbon 6 / Boy Blue-10,45,Tippy Toe Legging in Carbon 6/ Boy Blue.,1,yoga apparel
TTLEG.C6.BBLU.IBLU-12,Tippy Toe Legging-Carbon 6 / Boy Blue-12,45,Tippy Toe Legging in Carbon 6/ Boy Blue.,1,yoga apparel
RJPCRP.C6.C6.C6-2,Run Jump 'n Play Crop-Carbon 6-2,88,RJP Crop in Carbon 6.,1,yoga apparel
RJPCRP.C6.C6.C6-4,Run Jump 'n Play Crop-Carbon 6-4,88,RJP Crop in Carbon 6.,1,yoga apparel
RJPCRP.C6.C6.C6-6,Run Jump 'n Play Crop-Carbon 6-6,88,RJP Crop in Carbon 6.,1,yoga apparel
RJPCRP.C6.C6.C6-8, Run Jump 'n Play Crop-Carbon 6-8,88,RJP Crop in Carbon 6.,1,yoga apparel
RJPCRP.C6.C6.C6-10,Run Jump 'n Play Crop-Carbon 6-10,88,RJP Crop in Carbon 6.,1,yoga apparel
RJPCRP.C6.C6.C6-12, Run Jump 'n Play Crop-Carbon 6-12,88,RJP Crop in Carbon 6.,1,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-2,Run Jump n' Play Crop-Tickled Pink-2,40,RJP Crop in Tickled Pink,0,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-4, Run Jump n' Play Crop-Tickled Pink-4,40,RJP Crop in Tickled Pink.,0,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-6,Run Jump n' Play Crop-Tickled Pink-6,40,RJP Crop in Tickled Pink.,0,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-8,Run Jump n' Play Crop-Tickled Pink-8,40,RJP Crop in Tickled Pink.,1,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-10, Run Jump n' Play Crop-Tickled Pink-10,40,RJP Crop in Tickled Pink.,1,yoga apparel
RJPCRP.TPNK.TPNK.TPNK-12,Run Jump n' Play Crop-Tickled Pink-12,40,RJP Crop in Tickled Pink.,1,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-2,Run Jump n' Play Crop-India Blue-2,40,RJP Crop in India Blue.,0,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-4,Run Jump n' Play Crop-India Blue-4,40,"RJP Crop in India Blue.
",1,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-6,Run Jump n' Play Crop-India Blue-6,40,"RJP Crop in India Blue.
",0,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-8,Run Jump n' Play Crop-India Blue-8,40,RJP Crop in India Blue.,1,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-10,Run Jump n' Play Crop-India Blue-10,40,RJP Crop in India Blue.,1,yoga apparel
RJPCRP.IBLU.IBLU.IBLU-12,Run Jump n' Play Crop-India Blue-12,40,RJP Crop in India Blue.,1,yoga apparel
RJPCRP.C6.IBLU.BBLU-2,Run Jump n' Play Crop-Carbon 6 / India Blue-2,40,RJP Crop in Carbon 6/ India Blue.,0,yoga apparel
RJPCRP.C6.IBLU.BBLU-4,Run Jump n' Play Crop-Carbon 6 / India Blue-4,40,RJP Crop in Carbon 6/ India Blue.,0,yoga apparel
RJPCRP.C6.IBLU.BBLU-6,Run Jump n' Play Crop-Carbon 6 / India Blue-6,40,RJP Crop in Carbon 6/ India Blue.,0,yoga apparel
RJPCRP.C6.IBLU.BBLU-8,Run Jump n' Play Crop-Carbon 6 / India Blue-8,40,RJP Crop in Carbon 6/ India Blue.,1,yoga apparel
RJPCRP.C6.IBLU.BBLU-10,Run Jump n' Play Crop-Carbon 6 / India Blue-10,40,RJP Crop in Carbon 6/ India Blue.,1,yoga apparel
RJPCRP.C6.IBLU.BBLU-12,Run Jump n' Play Crop-Carbon 6 / India Blue-12,40,RJP Crop in Carbon 6/ India Blue.,0,yoga apparel
YTNK.C6.C6.C6-2,Yantra Tank-Carbon 6-2,55,Yantra Tank in Carbon 6.,0,yoga apparel
YTNK.C6.C6.C6-4,Yantra Tank-Carbon 6-4,55,Yantra Tank in Carbon 6.,0,yoga apparel
YTNK.C6.C6.C6-6,Yantra Tank-Carbon 6-6,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.C6.C6.C6-8,Yantra Tank-Carbon 6-8,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.C6.C6.C6-10,Yantra Tank-Carbon 6-10,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.C6.C6.C6-12,Yantra Tank-Carbon 6-12,55,Yantra Tank in Carbon 6.,1,yoga apparel
YTNK.TPNK.TPNK.TPNK-2,Yantra Tank-Tickled Pink-2,26,Yantra Tank in Tickled Pink.,0,yoga apparel
YTNK.TPNK.TPNK.TPNK-4,Yantra Tank-Tickled Pink-4,26,Yantra Tank in Tickled Pink.,0,yoga apparel
YTNK.TPNK.TPNK.TPNK-6,Yantra Tank-Tickled Pink-6,26,Yantra Tank in Tickled Pink.,1,yoga apparel
YTNK.TPNK.TPNK.TPNK-8,Yantra Tank-Tickled Pink-8,26,Yantra Tank in Tickled Pink.,1,yoga apparel
YTNK.TPNK.TPNK.TPNK-10,Yantra Tank-Tickled Pink-10,26,Yantra Tank in Tickled Pink.,1,yoga apparel
YTNK.TPNK.TPNK.TPNK-12,Yantra Tank-Tickled Pink-12,26,Yantra Tank in Tickled Pink.,1,yoga apparel
YTNK.IBLU.IBLU.BBLU-2,Yantra Tank-India Blue-2,26,Yantra Tank in India Blue.,0,yoga apparel
YTNK.IBLU.IBLU.BBLU-4,Yantra Tank-India Blue-4,26,Yantra Tank in India Blue.,0,yoga apparel
YTNK.IBLU.IBLU.BBLU-6,Yantra Tank-India Blue-6,26,Yantra Tank in India Blue.,0,yoga apparel
YTNK.IBLU.IBLU.BBLU-8,Yantra Tank-India Blue-8,26,Yantra Tank in India Blue.,1,yoga apparel
YTNK.IBLU.IBLU.BBLU-10,Yantra Tank-India Blue-10,26,Yantra Tank in India Blue.,1,yoga apparel
YTNK.IBLU.IBLU.BBLU-12,Yantra Tank-India Blue-12,26,Yantra Tank in India Blue.,0,yoga apparel
YTNK.BBLU.BBLU.IBLU-2,Yantra Tank-Boy Blue-2,26,Yantra Tank in Boy Blue.,0,yoga apparel
YTNK.BBLU.BBLU.IBLU-4,Yantra Tank-Boy Blue-4,26,Yantra Tank in Boy Blue.,0,yoga apparel
YTNK.BBLU.BBLU.IBLU-6,Yantra Tank-Boy Blue-6,26,Yantra Tank in Boy Blue.,1,yoga apparel
YTNK.BBLU.BBLU.IBLU-8,Yantra Tank-Boy Blue-8,26,Yantra Tank in Boy Blue.,1,yoga apparel
YTNK.BBLU.BBLU.IBLU-10,Yantra Tank-Boy Blue-10,26,Yantra Tank in Boy Blue.,1,yoga apparel
YTNK.BBLU.BBLU.IBLU-12,Yantra Tank-Boy Blue-12,26,Yantra Tank in Boy Blue.,1,yoga apparel
YTNK.C6.TPNK.C6-2,Yantra Tank-Carbon 6 / Tickled Pink-2,26,Yantra Tank in Carbon 6 / Tickled Pink.,0,yoga apparel
YTNK.C6.TPNK.C6-4,Yantra Tank-Carbon 6 / Tickled Pink-4,26,Yantra Tank in Carbon 6 / Tickled Pink.,0,yoga apparel
YTNK.C6.TPNK.C6-6,Yantra Tank-Carbon 6 / Tickled Pink-6,26,Yantra Tank in Carbon 6 / Tickled Pink.,0,yoga apparel
YTNK.C6.TPNK.C6-8,Yantra Tank-Carbon 6 / Tickled Pink-8,26,Yantra Tank in Carbon 6 / Tickled Pink.,1,yoga apparel
YTNK.C6.TPNK.C6-10,Yantra Tank-Carbon 6 / Tickled Pink-10,26,Yantra Tank in Carbon 6 / Tickled Pink.,1,yoga apparel
YTNK.C6.TPNK.C6-12,Yantra Tank-Carbon 6 / Tickled Pink-12,26,Yantra Tank in Carbon 6 / Tickled Pink.,1,yoga apparel
YTNK.BBLU.IBLU.BBLU-2,Yantra Tank-Boy Blue / India Blue-2,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
YTNK.BBLU.IBLU.BBLU-4,Yantra Tank-Boy Blue / India Blue-4,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
YTNK.BBLU.IBLU.BBLU-6,Yantra Tank-Boy Blue / India Blue-6,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
YTNK.BBLU.IBLU.BBLU-8,Yantra Tank-Boy Blue / India Blue-8,26,Yantra Tank in Boy Blue / India Blue.,1,yoga apparel
YTNK.BBLU.IBLU.BBLU-10,Yantra Tank-Boy Blue / India Blue-10,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
YTNK.BBLU.IBLU.BBLU-12,Yantra Tank-Boy Blue / India Blue-12,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
UMBRA.TPNK.TPNK.TPNK-12,U & Me Bra-Tickled Pink-12,24,U & Me Bra in Tickled Pink.,0,yoga apparel
YOGAFLOP.PINK-5,YOGAFLOPS  (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PINK-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-5,YOGAFLOPS (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLUE-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-5,YOGAFLOPS (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.BLACK-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-5,YOGAFLOPS (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.WHITE-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-5,YOGAFLOPS (By Rider)-5,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-6,YOGAFLOPS (By Rider)-6,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-7,YOGAFLOPS (By Rider)-7,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-8,YOGAFLOPS (By Rider)-8,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-9,YOGAFLOPS (By Rider)-9,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
YOGAFLOP.PURPLE-10,YOGAFLOPS (By Rider)-10,22,"To-and-from Yoga class. Get there in style with your YOGAFLOPSÉ?õ. YOGAFLOPS by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.
These are both stylish and offer amazing comfort for your beautiful tippy-toes.",1,yoga apparel
BRACELET-Red.Orange,NAMASK?ÅR BRACELET-Red / Orange,10,"YOGASMOGA has coordinated the manufacture and sales of hand woven bracelets that are being made on handlooms in remote villages of the Himalayas. Net Proceeds of all sales will be donated to the NAMASK?ÅR Foundation. <br/><br/>

We have created the Namask?≠r Foundation because we care.


",0,yoga apparel
YSMAT.BLACK,The YS Mat (By Kulae)-Black,54,"This is the ultimate eco yoga mat!  Outstanding support and comfort all in a 100% biodegradable yoga mat. 

At 72 inches long, 5mm thick and weighing less than 2.5 pounds, the YS Mat (By Kulae) is four inches longer than a standard yoga mat and has been designed with all styles of yoga in mind. This mat is revolutionary, and is the eco standard of yoga mats with a different color on each side giving the user the ability to use either side.

Made of Thermo Plastic Elastomer (É??TPEÉ?ù) | 100% Biodegradable | 100% Recyclable | Ultra-Hygienic | PVC- and Latex-Free
",0,yoga apparel
